Jogadores,Time Mandante,Data,Pontos,Rebotes,Assistências,Roubos,Tocos,Bolas de 3,Turnovers
Anfernee Simmons,Boston Celtics,10/03/26,25,6,1,1,0,6,2
Reed Sheppard,Houston Rockets,10/03/26,15,4,8,1,0,3,2
Cooper Flagg,Dallas Mavericks,10/03/26,2,2,0,2,0,0,0
Jimmy Butler,Golden State Warriors,10/03/26,20,5,5,0,0,2,5
Evan Mobley,Cleveland Cavaliers,11/03/26,15,11,5,1,3,1,2
Jabari Smith,Houston Rockets,10/03/26,10,1,2,1,0,0,1
Marcus Smart,Los Angeles Lakers,10/03/26,8,5,3,1,0,0,2
Jalen Green,Phoenix Suns,10/03/26,4,2,1,0,0,1,2
Klay Thompson,Dallas Mavericks,10/03/26,8,4,2,0,1,2,2
Karl Anthony Towns,New York Knicks,11/03/26,8,12,1,1,1,0,3
Giannis Antetokounmpo,Milwaukee Bucks,10/03/26,37,8,7,1,2,0,4
Anthony Davis,Washington Wizards,10/03/26,26,11,3,0,1,1,1
